date/time,temp_c,dew_point,rel_hum%,wind_speed,visibility_k,pressure_kpa,weather
5/13/2012 0:00,16.5,10,65,7,25,101.34,Cloudy
5/13/2012 1:00,16,10,68,7,25,101.31,Cloudy
5/13/2012 2:00,15.9,10.4,70,6,25,101.32,Rain Showers
5/13/2012 3:00,15.4,10.9,75,6,25,101.39,Cloudy
5/13/2012 4:00,15.1,10.9,76,11,25,101.5,Rain Showers
5/13/2012 5:00,14.1,11.5,84,6,24.1,101.51,Rain
5/13/2012 6:00,14.1,11.8,86,11,24.1,101.58,Rain
5/13/2012 7:00,14.2,12,87,13,24.1,101.63,Rain
5/13/2012 8:00,14.5,12.3,87,11,24.1,101.6,Cloudy
5/13/2012 9:00,15.7,12.5,81,13,24.1,101.63,Cloudy
5/13/2012 10:00,17,12.3,74,9,24.1,101.63,Cloudy
5/13/2012 11:00,17.2,11.2,68,17,24.1,101.63,Cloudy
5/13/2012 12:00,18.1,10.7,62,13,24.1,101.61,Cloudy
5/13/2012 13:00,19.5,9,51,11,24.1,101.59,Cloudy
5/13/2012 14:00,19.6,6.8,43,20,48.3,101.56,Mostly Cloudy
5/13/2012 15:00,20,5.8,39,11,48.3,101.53,Mostly Cloudy
5/13/2012 16:00,20.9,4,33,11,48.3,101.5,Mostly Cloudy
5/13/2012 17:00,20.4,4.1,34,15,48.3,101.48,Mainly Clear
5/13/2012 18:00,19.7,5.1,38,17,48.3,101.47,Clear
5/13/2012 19:00,18.8,5.7,42,13,48.3,101.49,Mainly Clear
5/13/2012 20:00,16.8,5.8,48,11,25,101.5,Mainly Clear
5/13/2012 21:00,13.4,6.5,63,7,25,101.54,Clear
5/13/2012 22:00,12.7,6.4,65,7,25,101.54,Clear
5/13/2012 23:00,13.3,6.6,64,0,25,101.54,Clear
5/14/2012 0:00,11.8,6.8,71,6,25,101.53,Clear
5/14/2012 1:00,12.8,7.1,68,6,25,101.51,Clear
5/14/2012 2:00,12,6.9,71,4,25,101.5,Clear
5/14/2012 3:00,12,6.9,71,0,25,101.5,Clear
5/14/2012 4:00,8.2,5.4,82,4,25,101.51,Mainly Clear
5/14/2012 5:00,8.3,5.7,84,0,24.1,101.54,Mainly Clear
5/14/2012 6:00,12,8.4,79,0,48.3,101.56,Mostly Cloudy
5/14/2012 7:00,15.6,9.5,67,0,48.3,101.58,Mostly Cloudy
5/14/2012 8:00,17.1,9.6,61,6,48.3,101.59,Mainly Clear
5/14/2012 9:00,19.2,8.6,50,6,48.3,101.54,Mostly Cloudy
5/14/2012 10:00,20.1,7.7,45,11,48.3,101.5,Mostly Cloudy
5/14/2012 11:00,21.2,7.7,42,13,48.3,101.44,Mostly Cloudy
5/14/2012 12:00,21.9,8,41,17,48.3,101.36,Mainly Clear
5/14/2012 13:00,22,7.4,39,17,48.3,101.32,Mainly Clear
5/14/2012 14:00,23.2,8.5,39,0,48.3,101.24,Mainly Clear
5/14/2012 15:00,23.2,9.2,41,9,48.3,101.17,Mainly Clear
5/14/2012 16:00,23.4,10,43,9,48.3,101.13,Mainly Clear
5/14/2012 17:00,23.5,11.3,46,6,48.3,101.11,Mostly Cloudy
5/14/2012 18:00,22.9,12.1,51,9,48.3,101.1,Mostly Cloudy
5/14/2012 19:00,21.5,12.4,56,15,48.3,101.11,Cloudy
5/14/2012 20:00,19.8,12.6,63,17,25,101.15,Mostly Cloudy
5/14/2012 21:00,18.3,12.6,69,15,25,101.18,Mainly Clear
5/14/2012 22:00,17.5,12.7,73,6,25,101.2,Mostly Cloudy
5/14/2012 23:00,17.5,13.1,75,7,25,101.22,Mostly Cloudy
5/15/2012 0:00,16,12.2,78,11,25,101.23,Mainly Clear
5/15/2012 1:00,16.6,12.1,75,6,25,101.23,Mainly Clear
5/15/2012 2:00,15.8,12.7,82,9,25,101.21,Mostly Cloudy
5/15/2012 3:00,15.9,13.1,83,11,25,101.19,Mostly Cloudy
5/15/2012 4:00,16,13.1,83,11,25,101.19,Mostly Cloudy
5/15/2012 5:00,15.9,12.9,82,11,24.1,101.21,Cloudy
5/15/2012 6:00,16.3,12.9,80,9,24.1,101.23,Cloudy
5/15/2012 7:00,16.4,13.8,85,7,24.1,101.24,Cloudy
5/15/2012 8:00,17.3,13.9,80,11,24.1,101.23,Cloudy
5/15/2012 9:00,18.7,14.5,77,9,24.1,101.2,Cloudy
5/15/2012 10:00,20.7,15,70,7,24.1,101.17,Mostly Cloudy
5/15/2012 11:00,20.3,14.3,68,11,24.1,101.12,Cloudy
5/15/2012 12:00,20.7,15,70,13,24.1,101.06,Mostly Cloudy
5/15/2012 13:00,20.1,14.6,71,20,24.1,101.02,Cloudy
5/15/2012 14:00,19.2,14.4,74,19,24.1,100.98,Cloudy
5/15/2012 15:00,17.8,15.2,85,9,16.1,100.95,Rain Showers
5/15/2012 16:00,18.2,15.4,84,15,24.1,100.9,Cloudy
5/15/2012 17:00,18.2,15.3,83,17,24.1,100.85,Mostly Cloudy
5/15/2012 18:00,17.9,15.1,84,19,24.1,100.83,Mostly Cloudy
5/15/2012 19:00,17.4,15,86,17,24.1,100.81,Mostly Cloudy
5/15/2012 20:00,17,14.4,85,17,24.1,100.79,Mostly Cloudy
5/15/2012 21:00,16.6,14,85,15,25,100.77,Mostly Cloudy
5/15/2012 22:00,15.9,13.6,86,11,25,100.75,Clear
5/15/2012 23:00,15.4,13.2,87,11,25,100.74,Clear
